repo,file_path,file_type,job_name,step_name,task_category,normalized_tool,raw_match
setuptools,.github/workflows/main.yml,github_actions,release,Install tox,configuration_provisioning,tox,tox
setuptools,.github/workflows/main.yml,github_actions,release,Run,configuration_provisioning,tox,tox
setuptools,.github/workflows/main.yml,github_actions,test,Install tox,configuration_provisioning,tox,tox
setuptools,.github/workflows/main.yml,github_actions,test,Run,configuration_provisioning,tox,tox
setuptools,.github/workflows/main.yml,github_actions,test_cygwin,Install tox using pip,configuration_provisioning,tox,tox
setuptools,.github/workflows/main.yml,github_actions,test_cygwin,Run tests,configuration_provisioning,tox,tox
setuptools,.github/workflows/main.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/main.yml
setuptools,.github/workflows/main.yml,github_actions,,,testing_tool,coverage,coverage
setuptools,.github/workflows/main.yml,github_actions,test,Create coverage report,testing_tool,coverage,coverage
setuptools,.github/workflows/main.yml,github_actions,test_cygwin,Create coverage report,testing_tool,coverage,coverage
setuptools,.github/workflows/main.yml,github_actions,,,testing_tool,tox,tox
setuptools,.github/workflows/main.yml,github_actions,collateral,Eval ${{ matrix.job }},testing_tool,tox,tox
setuptools,.github/workflows/main.yml,github_actions,collateral,Install tox,testing_tool,tox,tox
setuptools,.github/workflows/main.yml,github_actions,integration-test,Install tox,testing_tool,tox,tox
setuptools,.github/workflows/main.yml,github_actions,integration-test,Run integration tests,testing_tool,tox,tox
setuptools,.github/workflows/main.yml,github_actions,release,Install tox,testing_tool,tox,tox
setuptools,.github/workflows/main.yml,github_actions,release,Run,testing_tool,tox,tox
setuptools,.github/workflows/main.yml,github_actions,test,Install tox,testing_tool,tox,tox
setuptools,.github/workflows/main.yml,github_actions,test,Run,testing_tool,tox,tox
setuptools,.github/workflows/main.yml,github_actions,test_cygwin,Install tox using pip,testing_tool,tox,tox
setuptools,.github/workflows/main.yml,github_actions,test_cygwin,Run tests,testing_tool,tox,tox
setuptools,.github/workflows/main.yml,github_actions,,,version_control_system,github-releases,release:
setuptools,.github/workflows/main.yml,github_actions,,,version_control_system,release-tags,refs/tags
setuptools,.github/workflows/main.yml,github_actions,,,version_control_system,release-tags,tags:
setuptools,.github/workflows/pyright.yml,github_actions,,,code_management_analysis,pyright,pyright
setuptools,.github/workflows/pyright.yml,github_actions,,,code_management_analysis,pyright,Pyright
setuptools,.github/workflows/pyright.yml,github_actions,pyright,Inform how to run locally,code_management_analysis,pyright,pyright
setuptools,.github/workflows/pyright.yml,github_actions,pyright,Inform how to run locally,code_management_analysis,pyright,Pyright
setuptools,.github/workflows/pyright.yml,github_actions,pyright,Run pyright,code_management_analysis,pyright,pyright
setuptools,.github/workflows/pyright.yml,github_actions,,,configuration_provisioning,actions/setup-python,actions/setup-python@v5
setuptools,.github/workflows/pyright.yml,github_actions,pyright,Setup Python,configuration_provisioning,actions/setup-python,actions/setup-python@v5
setuptools,.github/workflows/pyright.yml,github_actions,,,configuration_provisioning,pip,pip
setuptools,.github/workflows/pyright.yml,github_actions,pyright,Inform how to run locally,configuration_provisioning,pip,pip
setuptools,.github/workflows/pyright.yml,github_actions,pyright,Install typed dependencies,configuration_provisioning,pip,pip
setuptools,.github/workflows/pyright.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/pyright.yml
setuptools,.github/workflows/pyright.yml,github_actions,,,version_control_system,release-tags,tags:
setuptools,.pre-commit-config.yaml,pre_commit,,,code_management_analysis,pre-commit,pre-commit
setuptools,.pre-commit-config.yaml,pre_commit,,,code_management_analysis,ruff,ruff
setuptools,pyproject.toml,pyproject,,,build_tool,setuptools,setuptools.build_meta
setuptools,pyproject.toml,pyproject,,,code_management_analysis,mypy,mypy
setuptools,pyproject.toml,pyproject,,,code_management_analysis,ruff,ruff
setuptools,pyproject.toml,pyproject,,,configuration_provisioning,pip,pip
setuptools,pyproject.toml,pyproject,,,configuration_provisioning,venv,virtualenv
setuptools,pyproject.toml,pyproject,,,testing_tool,pytest,pytest
setuptools,pyproject.toml,pyproject,,,version_control_system,setuptools-scm,[tool.setuptools_scm]
setuptools,pyproject.toml,pyproject,,,version_control_system,setuptools-scm,setuptools_scm
setuptools,pyproject.toml,pyproject,,,version_control_system,towncrier,towncrier
setuptools,setup.py,setup_py,,,build_tool,setuptools,setuptools
setuptools,towncrier.toml,release_file,,,version_control_system,towncrier,towncrier
setuptools,tox.ini,tox_ini,,,build_tool,build,python -m build
setuptools,tox.ini,tox_ini,,,delivery_deployment,twine,twine upload
setuptools,tox.ini,tox_ini,,,testing_tool,coverage,coverage
setuptools,tox.ini,tox_ini,,,testing_tool,pytest,pytest
setuptools,tox.ini,tox_ini,,,version_control_system,bump2version,bump2version
setuptools,tox.ini,tox_ini,,,version_control_system,towncrier,towncrier
urllib3,.github/workflows/changelog.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/changelog.yml
urllib3,.github/workflows/changelog.yml,github_actions,,,version_control_system,towncrier,towncrier
urllib3,.github/workflows/changelog.yml,github_actions,check-changelog-entry,Check changelog,version_control_system,towncrier,towncrier
urllib3,.github/workflows/ci.yml,github_actions,,,build_tool,build,python -m build
urllib3,.github/workflows/ci.yml,github_actions,package,Check packages,build_tool,build,python -m build
urllib3,.github/workflows/ci.yml,github_actions,,,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
urllib3,.github/workflows/ci.yml,github_actions,coverage,Setup Python,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
urllib3,.github/workflows/ci.yml,github_actions,package,Setup Python,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
urllib3,.github/workflows/ci.yml,github_actions,test,Setup Python ${{ matrix.python-version }},configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
urllib3,.github/workflows/ci.yml,github_actions,,,configuration_provisioning,astral-sh/setup-uv,astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b
urllib3,.github/workflows/ci.yml,github_actions,coverage,Install uv,configuration_provisioning,astral-sh/setup-uv,astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b
urllib3,.github/workflows/ci.yml,github_actions,test,Install uv,configuration_provisioning,astral-sh/setup-uv,astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b
urllib3,.github/workflows/ci.yml,github_actions,,,configuration_provisioning,nox,nox
urllib3,.github/workflows/ci.yml,github_actions,test,Run tests,configuration_provisioning,nox,nox
urllib3,.github/workflows/ci.yml,github_actions,,,configuration_provisioning,pip,pip
urllib3,.github/workflows/ci.yml,github_actions,package,Check packages,configuration_provisioning,pip,pip
urllib3,.github/workflows/ci.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/ci.yml
urllib3,.github/workflows/ci.yml,github_actions,,,testing_tool,coverage,coverage
urllib3,.github/workflows/ci.yml,github_actions,coverage,Combine & check coverage,testing_tool,coverage,coverage
urllib3,.github/workflows/ci.yml,github_actions,,,testing_tool,nox,nox
urllib3,.github/workflows/ci.yml,github_actions,test,Run tests,testing_tool,nox,nox
urllib3,.github/workflows/codeql.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/codeql.yml
urllib3,.github/workflows/downstream.yml,github_actions,,,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
urllib3,.github/workflows/downstream.yml,github_actions,downstream,Setup Python,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
urllib3,.github/workflows/downstream.yml,github_actions,,,configuration_provisioning,astral-sh/setup-uv,astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b
urllib3,.github/workflows/downstream.yml,github_actions,downstream,Install uv,configuration_provisioning,astral-sh/setup-uv,astral-sh/setup-uv@08807647e7069bb48b6ef5acd8ec9567f424441b
urllib3,.github/workflows/downstream.yml,github_actions,,,configuration_provisioning,nox,nox
urllib3,.github/workflows/downstream.yml,github_actions,downstream,Run downstream tests,configuration_provisioning,nox,nox
urllib3,.github/workflows/downstream.yml,github_actions,,,continuous_integration_server,GitHub Actions,.github/workflows/downstream.yml
urllib3,.github/workflows/downstream.yml,github_actions,,,testing_tool,nox,nox
urllib3,.github/workflows/downstream.yml,github_actions,downstream,Run downstream tests,testing_tool,nox,nox
urllib3,.github/workflows/lint.yml,github_actions,,,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
urllib3,.github/workflows/lint.yml,github_actions,lint,Setup Python,configuration_provisioning,actions/setup-python,actions/setup-python@a309ff8b426b58ec0e2a45f0f869d46889d02405
